description,event_datetime,visiting_team,home_team_score,visiting_team_score,promotion,zone_name,section_name,number_of_transactions,number_of_tickets
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Club Baselines,230,2,4
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Club Baselines,CL229,1,2
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Club Baselines,Club Level Outfield 202,16,33
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Club Baselines,Club Level Outfield 203,17,49
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Club Baselines,Club Level Outfield 204,21,41
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Club Baselines,Club Level Outfield 205,15,28
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Club Baselines,Club Level Outfield 226,23,58
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Club Baselines,Club Level Outfield 227,27,66
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Club Baselines,Club Level Outfield 228,18,46
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Club Baselines,Club Level Outfield 229,27,58
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Club Baselines,Club Level Outfield 230,11,29
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Club Baselines,Club Level Outfield 231,12,24
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Lower Baselines,130,1,4
San Francisco Giants vs. Arizona Diamondbacks,4/10/17 1:35 PM,Arizona Diamondbacks,4,1,,Lower Baselines,LB103,1,2
